BA1 0TA,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TB,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TD,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TE,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TF,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TG,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TH,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TJ,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TL,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TN,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TP,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TQ,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TR,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TS,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TT,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TU,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TW,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TX,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TY,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0TZ,10,375127,164839,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UA,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UB,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UD,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UE,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UG,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UJ,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UL,50,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
BA1 0UN,10,375350,164482,E92000001,E19000002,E18000010,,E06000022,E05001935
